,seed,n_samples,n_features,n_clusters,k,std,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,5000,20,20,5,0.5,0.971,0.977,0.000487285288457131,0.971,0.977,0.000487285288457131,1.0,0.998,0.0023644864061689685,0.97175,0.977,0.000487285288457131,0.996,0.989,0.012916738920964345,0.971,0.977,0.000487285288457131,0.9865,0.983,0.0018188407362558423
1,1,5000,20,20,5,0.5,0.8925,0.894,0.3900571229450895,0.9665,0.954,0.004356284890571205,1.0,1.0,0.007457573773977861,0.96625,0.955,0.004356284890571205,0.997,0.986,0.0033106540570097564,0.9655,0.954,0.004356284890571205,0.99375,0.983,0.005768582785248142
2,2,5000,20,20,5,0.5,0.9405,0.957,0.007458604420468496,0.96625,0.974,0.0051375696718761075,1.0,0.999,0.006356469637033375,0.971,0.976,0.006952172548107727,0.99775,0.99,0.005011905777978918,0.96625,0.974,0.0051375696718761075,0.99475,0.988,0.004857609711894
3,3,5000,20,20,5,0.5,0.92925,0.929,0.006418530501212023,0.936,0.934,0.006418530501212023,1.0,1.0,0.005677618260399864,0.97225,0.968,0.008498263219129417,0.99275,0.986,0.005677618260399864,0.92725,0.918,0.004545380926340208,0.98775,0.979,0.00516163151309913
4,4,5000,20,20,5,0.5,0.9775,0.98,0.3348553548796173,0.992,0.993,0.0,1.0,0.999,0.001605261553184334,0.994,0.996,0.0,0.998,0.994,0.0,0.992,0.994,0.0,0.996,0.995,0.0
0,0,10000,20,20,10,0.5,0.81975,0.8225,0.022995627805223354,0.83625,0.842,0.015865795478532486,1.0,0.9995,0.01588664612696264,0.88325,0.8895,0.021070458315806288,0.989875,0.9765,0.01253923813810834,0.84875,0.8605,0.022060596050205203,0.960625,0.955,0.016297053032412877
1,1,10000,20,20,10,0.5,0.849625,0.8375,0.01671592443216108,0.87375,0.8675,0.010947664487109921,1.0,0.9995,0.008342942163839615,0.890625,0.8855,0.011721518104440092,0.99175,0.984,0.009024435193482975,0.867125,0.8625,0.012597363920899251,0.981875,0.9725,0.008897867987602505
2,2,10000,20,20,10,0.5,0.859125,0.869,0.013340792739059583,0.8615,0.8715,0.011102976333102074,1.0,1.0,0.009436764415910166,0.93025,0.9175,0.13547362588095646,0.99175,0.9825,0.00840643850255788,0.865125,0.861,0.013190453043178937,0.98225,0.964,0.009436764415910166
3,3,10000,20,20,10,0.5,0.83525,0.826,0.02021409794415301,0.837375,0.826,0.02350868117703282,1.0,1.0,0.018449820447855717,0.890875,0.883,0.01645922032954629,0.989,0.9865,0.0199862382926627,0.8285,0.824,0.015115186767675393,0.982,0.9745,0.01815958445319711
4,4,10000,20,20,10,0.5,0.835375,0.844,0.009020036433558509,0.854875,0.856,0.008079651893044099,1.0,0.9985,0.003737046228124019,0.88825,0.8905,0.0066815349025397056,0.988875,0.9795,0.0050906447132932995,0.855,0.8555,0.008079651893044099,0.974625,0.9565,0.00300519148035751
0,0,30000,20,20,30,0.5,0.7894166666666667,0.7781666666666667,0.015417126937038854,0.793,0.7826666666666666,0.01785274932799804,1.0,0.9995,0.02258216427986044,0.8154583333333333,0.8033333333333333,0.011524950568584784,0.9883333333333333,0.9801666666666666,0.02258216427986044,0.851125,0.8393333333333334,0.01994571160828885,0.965375,0.949,0.02377742429720087
1,1,30000,20,20,30,0.5,0.7967083333333334,0.7985,0.026224339855088874,0.8105833333333333,0.8098333333333333,0.021518290686239422,1.0,0.9995,0.019040880260374114,0.874,0.875,0.0152650202578529,0.9873333333333333,0.9786666666666667,0.016983740048264504,0.835375,0.8385,0.020038607995201404,0.9577083333333334,0.9466666666666667,0.018034303973773976
2,2,30000,20,20,30,0.5,0.732125,0.7231666666666666,0.038151592042877644,0.7860833333333334,0.7693333333333333,0.011490355589501162,1.0,0.9995,0.017874011450458884,0.8310416666666667,0.822,0.014486511581746108,0.9894583333333333,0.977,0.016739505692994688,0.8026666666666666,0.7835,0.011490355589501162,0.9712083333333333,0.9476666666666667,0.018284597883448897
3,3,30000,20,20,30,0.5,0.743125,0.7503333333333333,0.026036107174685248,0.74825,0.7545,0.02644467023735476,1.0,0.9995,0.01145303497595423,0.827,0.8303333333333334,0.02132561468113649,0.9882916666666667,0.9808333333333333,0.012377926376408766,0.8164583333333333,0.8181666666666667,0.021650544098609833,0.955125,0.9395,0.013606325674777106
4,4,30000,20,20,30,0.5,0.7912916666666666,0.7898333333333334,0.017155132386808818,0.806,0.8035,0.017715960896674175,1.0,0.9993333333333333,0.008192051279958082,0.871875,0.8678333333333333,0.005574313425583608,0.9884166666666667,0.9823333333333333,0.00646675465956984,0.8410416666666667,0.8385,0.008645542958569834,0.9568333333333333,0.9515,0.009640996107076569
0,0,50000,20,20,50,0.5,0.56835,0.5735,0.03742491394053011,0.578525,0.5823,0.03661349272249991,1.0,0.9986,0.028734841670852065,0.684125,0.6846,0.029743598192036858,0.980375,0.9684,0.03375747107861568,0.720175,0.7191,0.02625266961045699,0.9056,0.8813,0.034365177679281586
1,1,50000,20,20,50,0.5,0.597975,0.603,0.03661962399226733,0.596675,0.6002,0.0360511170380506,1.0,0.999,0.024350859688386586,0.680325,0.6852,0.032827562625763446,0.983525,0.9745,0.026345367142319456,0.738775,0.7361,0.022025076925982844,0.916875,0.8956,0.023299766713714407
2,2,50000,20,20,50,0.5,0.59765,0.6067,0.046972124451652615,0.597325,0.6056,0.046278557852464874,1.0,0.999,0.01756808595355514,0.6621,0.6637,0.041710011241358355,0.982775,0.9725,0.01756808595355514,0.728225,0.732,0.025236119848389794,0.9219,0.8987,0.019113385157769166
3,3,50000,20,20,50,0.5,0.591975,0.5936,0.03868464982067333,0.59265,0.5943,0.03868464982067333,1.0,0.9995,0.03844983039817753,0.69615,0.6899,0.03451973587419989,0.981625,0.9699,0.03297518903780292,0.726,0.726,0.02796224538717472,0.94515,0.9097,0.03173650740169091
4,4,50000,20,20,50,0.5,0.6059,0.6043,0.0443831298574234,0.60995,0.6123,0.04222450392815711,1.0,0.9997,0.021210347194029203,0.675275,0.6783,0.03852741720558165,0.98475,0.9777,0.01997964532883822,0.758075,0.7586,0.035461699689433024,0.89485,0.8815,0.01949965711852824
0,0,100000,20,20,100,0.5,0.611475,0.6123,0.056882133346958776,0.6172375,0.6124,0.06964086255792633,1.0,0.9993,0.027329300929749105,0.547325,0.5403,0.06555762859210847,0.9687,0.95825,0.026763009125003664,0.784775,0.77975,0.033823953025283335,0.9070375,0.8706,0.0253222045522409
1,1,100000,20,20,100,0.5,0.632625,0.6338,0.06228785566997272,0.655875,0.6554,0.0608969057810486,1.0,0.9992,0.051880595059717066,0.5237625,0.5146,0.24448595702451317,0.9712,0.96025,0.049086466832468825,0.7884,0.78285,0.04172785667105152,0.9246125,0.8852,0.047371416207823314
2,2,100000,20,20,100,0.5,0.5717875,0.57765,0.059192661497628606,0.595575,0.5968,0.061611797258606146,1.0,0.99935,0.04948341051600346,0.5906875,0.58395,0.06725147433866589,0.9674,0.9566,0.05172969533945228,0.7571875,0.7575,0.045558539627305716,0.922525,0.8801,0.05301728733811148
3,3,100000,20,20,100,0.5,0.61045,0.61005,0.0764815088746263,0.6097875,0.60845,0.07934559366555934,1.0,0.999,0.0444403177683537,0.543825,0.5376,0.09263642883854444,0.968625,0.9566,0.04215017147342971,0.7889,0.7801,0.044181758931000154,0.9274625,0.8873,0.04410896670555767
4,4,100000,20,20,100,0.5,0.627925,0.6273,0.06362790999107235,0.6224625,0.6209,0.07027908185776266,1.0,0.9992,0.03700857214095607,0.5210625,0.51595,0.07237591313165671,0.96915,0.95795,0.038773678058861206,0.8032125,0.79635,0.03287335247493926,0.92765,0.8863,0.038834668650670603
0,0,100000,20,20,100,0.5,0.611475,0.6123,0.056882133346958776,0.6172375,0.6124,0.06964086255792633,1.0,0.9993,0.027329300929749105,0.547325,0.5403,0.06555762859210847,0.9687,0.95825,0.026763009125003664,0.784775,0.77975,0.033823953025283335,0.9070375,0.8706,0.0253222045522409
1,1,100000,20,20,100,0.5,0.632625,0.6338,0.06228785566997272,0.655875,0.6554,0.0608969057810486,1.0,0.9992,0.051880595059717066,0.5237625,0.5146,0.24448595702451317,0.9712,0.96025,0.049086466832468825,0.7884,0.78285,0.04172785667105152,0.9246125,0.8852,0.047371416207823314
2,2,100000,20,20,100,0.5,0.5717875,0.57765,0.059192661497628606,0.595575,0.5968,0.061611797258606146,1.0,0.99935,0.04948341051600346,0.5906875,0.58395,0.06725147433866589,0.9674,0.9566,0.05172969533945228,0.7571875,0.7575,0.045558539627305716,0.922525,0.8801,0.05301728733811148
3,3,100000,20,20,100,0.5,0.61045,0.61005,0.0764815088746263,0.6097875,0.60845,0.07934559366555934,1.0,0.999,0.0444403177683537,0.543825,0.5376,0.09263642883854444,0.968625,0.9566,0.04215017147342971,0.7889,0.7801,0.044181758931000154,0.9274625,0.8873,0.04410896670555767
4,4,100000,20,20,100,0.5,0.627925,0.6273,0.06362790999107235,0.6224625,0.6209,0.07027908185776266,1.0,0.9992,0.03700857214095607,0.5210625,0.51595,0.07237591313165671,0.96915,0.95795,0.038773678058861206,0.8032125,0.79635,0.03287335247493926,0.92765,0.8863,0.038834668650670603
0,0,50000,20,20,50,0.5,0.56835,0.5735,0.03742491394053011,0.578525,0.5823,0.03661349272249991,1.0,0.9986,0.028734841670852065,0.684125,0.6846,0.029743598192036858,0.980375,0.9684,0.03375747107861568,0.720175,0.7191,0.02625266961045699,0.9056,0.8813,0.034365177679281586
1,1,50000,20,20,50,0.5,0.597975,0.603,0.03661962399226733,0.596675,0.6002,0.0360511170380506,1.0,0.999,0.024350859688386586,0.680325,0.6852,0.032827562625763446,0.983525,0.9745,0.026345367142319456,0.738775,0.7361,0.022025076925982844,0.916875,0.8956,0.023299766713714407
2,2,50000,20,20,50,0.5,0.59765,0.6067,0.046972124451652615,0.597325,0.6056,0.046278557852464874,1.0,0.999,0.01756808595355514,0.6621,0.6637,0.041710011241358355,0.982775,0.9725,0.01756808595355514,0.728225,0.732,0.025236119848389794,0.9219,0.8987,0.019113385157769166
3,3,50000,20,20,50,0.5,0.591975,0.5936,0.03868464982067333,0.59265,0.5943,0.03868464982067333,1.0,0.9995,0.03844983039817753,0.69615,0.6899,0.03451973587419989,0.981625,0.9699,0.03297518903780292,0.726,0.726,0.02796224538717472,0.94515,0.9097,0.03173650740169091
4,4,50000,20,20,50,0.5,0.6059,0.6043,0.0443831298574234,0.60995,0.6123,0.04222450392815711,1.0,0.9997,0.021210347194029203,0.675275,0.6783,0.03852741720558165,0.98475,0.9777,0.01997964532883822,0.758075,0.7586,0.035461699689433024,0.89485,0.8815,0.01949965711852824
