,seed,n_samples,n_features,n_clusters,k,Base Model_train,Base Model_valid,Base Model_mean_error,Naive Bayes_train,Naive Bayes_valid,Naive Bayes_mean_error,Decision Tree_train,Decision Tree_valid,Decision Tree_mean_error,Random Forest_train,Random Forest_valid,Random Forest_mean_error,Linear SVM_train,Linear SVM_valid,Linear SVM_mean_error,RBF SVM_train,RBF SVM_valid,RBF SVM_mean_error,MLP_train,MLP_valid,MLP_mean_error
0,0,10000,2,20,10,1.0,0.99,0.011599442743323292,0.97475,0.97,0.010965228917408533,1.0,0.98,0.01624321987907844,0.950625,0.95,0.025873838487966764,0.996,0.99,0.011599442743323292,0.989125,0.99,0.011599442743323292,0.991875,0.99,0.05609218954196974
1,1,10000,2,20,10,1.0,1.0,0.0,0.984375,0.99,0.005794682740315595,1.0,1.0,0.0,0.9585,0.97,0.06980085407453471,0.99625,0.99,0.005794682740315595,0.991125,0.99,0.005794682740315595,0.991625,1.0,0.0
2,2,10000,2,20,10,1.0,0.99,0.004462604559403172,0.9775,0.95,0.019724531403120037,1.0,0.95,0.01205530721978399,0.951375,0.94,0.014615726028836422,0.996625,0.99,0.004462604559403172,0.991375,0.97,0.00883544273767935,0.993375,0.97,0.0048673378658449385
3,3,10000,2,20,10,1.0,1.0,0.0,0.970625,0.98,0.007640004271485688,1.0,1.0,0.0,0.9545,0.97,0.029528953361388686,0.996625,0.99,0.0006186763679917684,0.98625,0.99,0.0006186763679917684,0.99175,1.0,0.0
4,4,10000,2,20,10,1.0,0.98,0.01899197110781367,0.977125,0.98,0.011515355909334972,1.0,0.98,0.01899197110781367,0.9705,0.92,0.06146241379431272,0.996375,0.97,0.02898331569204472,0.989125,0.98,0.018123688773376678,0.9925,0.96,0.03462407991052887
5,0,10000,10,20,10,1.0,1.0,0.0,0.99925,1.0,0.0,1.0,1.0,0.0,0.99775,1.0,0.0,1.0,1.0,0.0,0.99925,1.0,0.0,1.0,1.0,0.0
6,1,10000,10,20,10,1.0,0.99,0.1325303607170356,0.999125,1.0,0.0,1.0,1.0,0.0,0.998875,1.0,0.0,1.0,1.0,0.0,0.999125,1.0,0.0,0.999625,0.99,0.1325303607170356
7,2,10000,10,20,10,1.0,1.0,0.0,0.998125,1.0,0.0,1.0,0.97,0.9400492814464113,0.9905,0.99,0.27062181039929045,1.0,1.0,0.0,0.999375,1.0,0.0,1.0,1.0,0.0
8,3,10000,10,20,10,1.0,1.0,0.0,0.99975,1.0,0.0,1.0,0.98,0.7022415793374726,0.9965,1.0,0.0,1.0,1.0,0.0,0.99975,1.0,0.0,0.999875,1.0,0.0
9,4,10000,10,20,10,1.0,1.0,0.0,0.99925,1.0,0.0,1.0,0.99,0.40239030886594035,0.99875,1.0,0.0,1.0,1.0,0.0,0.999625,1.0,0.0,1.0,1.0,0.0
10,0,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
11,1,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.999625,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
12,2,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.995125,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
13,3,10000,20,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,1.205608761989256,0.999875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
14,4,10000,20,20,10,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0,0.998625,0.99,0.7680269013627623,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0
15,0,10000,50,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16,1,10000,50,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.999875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
17,2,10000,50,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,3.0813384281760112,0.9995,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
18,3,10000,50,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,2.782719088111628,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
19,4,10000,50,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,2.6844046264306805,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
20,0,10000,100,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.99,6.806921021234424,0.99975,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
21,1,10000,100,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
22,2,10000,100,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
23,3,10000,100,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
24,4,10000,100,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
25,0,10000,200,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
26,1,10000,200,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
27,2,10000,200,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
28,3,10000,200,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
29,4,10000,200,20,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
